Location,Date,AQImean,AQImed,AQImin,AQImax,AQIstd,Date,Measurements
barishal,2014-02-28,244.91666666666666,251.0,118.0,330.0,66.4111961170477,2014-02-17,12
barishal,2014-03-31,176.69230769230768,161.0,108.0,303.0,49.28429301980031,2014-03-01,26
barishal,2014-04-30,135.96,137.0,56.0,194.0,36.378198599344266,2014-04-01,25
barishal,2014-05-31,97.35483870967742,97.0,63.0,130.0,21.330023264711137,2014-05-01,31
barishal,2014-06-30,99.96551724137932,102.0,70.0,126.0,14.163541623832973,2014-06-01,29
barishal,2014-07-31,77.95833333333333,76.0,56.0,108.0,16.554203897097153,2014-07-01,24
barishal,2014-08-31,75.27272727272727,68.0,52.0,118.0,21.354582220642524,2014-08-21,11
barishal,2014-09-30,101.03333333333333,89.0,54.0,219.0,38.83518075621401,2014-09-01,30
barishal,2014-10-31,151.61290322580646,161.0,58.0,194.0,33.646869511991596,2014-10-01,31
barishal,2014-11-30,251.66666666666666,252.0,111.0,390.0,74.49264289950952,2014-11-01,27
barishal,2014-12-31,302.61290322580646,313.0,143.0,406.0,53.06076857048268,2014-12-01,31
barishal,2015-01-31,279.83870967741933,296.0,150.0,373.0,60.81178437013314,2015-01-01,31
barishal,2015-02-28,219.82142857142858,245.5,0.0,329.0,86.35887806187517,2015-02-01,28
barishal,2015-03-31,174.16129032258064,178.0,96.0,303.0,40.85021156550155,2015-03-01,31
barishal,2015-04-30,115.46153846153847,102.0,19.0,349.0,64.11878399921868,2015-04-01,26
barishal,2015-05-31,94.31818181818181,92.0,73.0,157.0,19.181802794355868,2015-05-01,22
barishal,2015-06-30,81.55172413793103,76.0,59.0,123.0,16.474192386224132,2015-06-01,29
barishal,2015-07-31,85.07692307692308,82.0,49.0,126.0,20.329137860564728,2015-07-01,26
barishal,2015-08-31,80.36666666666666,74.0,55.0,127.0,19.214727349781384,2015-08-01,30
barishal,2015-09-30,92.61538461538461,93.5,16.0,164.0,42.60523622568186,2015-09-01,26
barishal,2015-10-31,124.38709677419355,119.0,27.0,219.0,52.9437924717367,2015-10-01,31
barishal,2015-11-30,177.94736842105263,189.0,62.0,282.0,58.44795755789981,2015-11-01,19
barishal,2015-12-31,292.6,306.5,177.0,402.0,59.06256180438292,2015-12-01,30
barishal,2016-01-31,302.8666666666667,295.0,195.0,362.0,51.291696162615786,2016-01-01,15
barishal,2016-02-29,221.58333333333334,185.0,126.0,407.0,77.5460125214122,2016-02-01,24
barishal,2016-03-31,152.05263157894737,160.0,57.0,272.0,47.84868938668427,2016-03-01,19
barishal,2016-04-30,81.0952380952381,79.0,54.0,110.0,14.669372044858502,2016-04-09,21
barishal,2016-05-31,84.41935483870968,88.0,43.0,118.0,22.461484358116063,2016-05-01,31
barishal,2016-06-30,60.130434782608695,56.0,12.0,107.0,27.266870253821487,2016-06-01,23
