Location,Date,AQImean,AQImed,AQImin,AQImax,AQIstd,Date,Measurements
barishal,2014-12-31,156.87725631768953,128.0,52.0,406.0,85.41530737797483,2014-02-17,277
barishal,2015-12-31,154.1550151975684,119.0,0.0,402.0,90.49563886245997,2015-01-01,329
barishal,2016-12-31,131.28753993610223,92.0,12.0,407.0,90.98393985862516,2016-01-01,313
barishal,2017-12-31,132.79289940828403,103.5,12.0,379.0,93.76967651804324,2017-01-01,338
barishal,2018-12-31,106.38461538461539,73.0,8.0,336.0,80.55257514590929,2018-01-01,351
barishal,2019-12-31,127.25675675675676,102.5,8.0,383.0,94.57921953447703,2019-01-01,296
barishal,2020-12-31,151.41666666666666,158.5,7.0,365.0,107.44131885943504,2020-01-01,192
barishal,2021-12-31,175.43382352941177,159.0,20.0,385.0,93.50774990309088,2021-01-01,136
chittagong,2014-12-31,138.0,125.0,22.0,353.0,79.09569754815598,2014-02-17,287
chittagong,2015-12-31,128.73887240356083,111.0,0.0,350.0,76.24613613886076,2015-01-01,337
chittagong,2016-12-31,131.0251572327044,79.5,11.0,556.0,110.51057015464997,2016-01-01,318
chittagong,2017-12-31,106.10850439882698,78.0,10.0,397.0,87.24945618130272,2017-01-01,341
chittagong,2018-12-31,125.45,122.0,7.0,460.0,87.9580241467452,2018-01-01,340
chittagong,2019-12-31,112.55833333333334,90.0,9.0,390.0,86.30923181109726,2019-01-01,360
chittagong,2020-12-31,93.9,70.0,8.0,314.0,74.8020590287092,2020-01-01,230
chittagong,2021-12-31,132.3151515151515,140.0,21.0,252.0,59.467331271413045,2021-01-01,165
chittagong,2022-12-31,123.25806451612904,130.0,28.0,251.0,56.1564010106956,2022-01-01,93
cumilla,2019-12-31,106.1,75.5,10.0,327.0,74.66164885029815,2019-01-02,200
cumilla,2020-12-31,118.06837606837607,105.5,26.0,337.0,65.44574485205239,2020-01-01,234
cumilla,2021-12-31,160.6978417266187,160.0,34.0,323.0,62.65024314655606,2021-01-01,139
cumilla,2022-12-31,163.8421052631579,175.0,34.0,351.0,80.31246369840707,2022-01-02,95
dhaka,2014-12-31,160.46048109965636,132.0,39.0,399.0,93.28939577414829,2014-02-17,291
dhaka,2015-12-31,161.85555555555555,141.5,20.0,403.0,91.90779697358269,2015-01-01,360
dhaka,2016-12-31,146.4744318181818,112.0,8.0,419.0,103.7319547329784,2016-01-01,352
dhaka,2017-12-31,156.56830601092895,121.0,26.0,477.0,96.12887742468834,2017-01-01,366
dhaka,2018-12-31,190.49861495844874,163.0,17.0,557.0,111.3769157374518,2018-01-01,361
dhaka,2019-12-31,168.707182320442,145.0,11.0,479.0,96.22021374305348,2019-01-01,362
dhaka,2020-12-31,151.70724637681158,107.0,20.0,406.0,108.29048778100967,2020-01-01,345
dhaka,2021-12-31,250.47,249.0,57.0,432.0,98.43534265403399,2021-01-01,200
dhaka,2022-12-31,229.56701030927834,216.0,86.0,405.0,91.27441536566333,2022-01-01,97
gazipur,2014-12-31,166.40213523131672,146.0,10.0,548.0,109.12780120310545,2014-02-17,281
gazipur,2015-12-31,161.48850574712642,129.0,0.0,425.0,108.6228299017235,2015-01-01,348
gazipur,2016-12-31,155.83180428134557,114.0,14.0,500.0,113.36289723735652,2016-01-01,327
gazipur,2017-12-31,156.3551401869159,112.0,5.0,440.0,113.22258931550905,2017-01-01,321
gazipur,2018-12-31,161.54437869822485,129.5,7.0,500.0,119.59258030932814,2018-01-01,338
gazipur,2019-12-31,162.22622950819672,129.0,8.0,473.0,115.28596296652168,2019-01-01,305
gazipur,2020-12-31,163.11439114391143,145.0,26.0,407.0,90.36365735131409,2020-01-01,271
gazipur,2021-12-31,237.47027027027028,218.0,37.0,403.0,95.96619894317206,2021-01-01,185
khulna,2015-12-31,103.87150837988827,45.0,0.0,498.0,117.06192648809974,2015-01-01,179
khulna,2017-12-31,118.27884615384616,95.5,19.0,352.0,82.10086819199303,2017-05-07,104
khulna,2018-12-31,129.7037037037037,88.5,10.0,413.0,115.45648605541959,2018-01-02,216
khulna,2019-12-31,125.1701244813278,117.0,17.0,378.0,80.63932107684467,2019-01-02,241
khulna,2020-12-31,100.87458745874588,60.0,11.0,344.0,83.99990606907849,2020-01-01,303
khulna,2021-12-31,184.47517730496455,174.0,22.0,341.0,83.00185725635335,2021-01-01,141
khulna,2022-12-31,129.36170212765958,136.0,21.0,307.0,60.97273338490283,2022-01-01,94
mymensingh,2019-12-31,134.42162162162163,106.0,12.0,346.0,88.40067853103477,2019-02-05,185
mymensingh,2020-12-31,189.9387755102041,176.0,46.0,382.0,86.85618131335899,2020-01-01,196
mymensingh,2021-12-31,237.9271523178808,237.0,93.0,448.0,82.75522938866152,2021-01-01,151
mymensingh,2022-12-31,199.80434782608697,182.0,57.0,350.0,76.74107159012546,2022-01-01,92
narayanganj,2014-12-31,168.57407407407408,109.5,13.0,590.0,138.27221170505885,2014-02-17,270
narayanganj,2015-12-31,175.72809667673715,124.0,0.0,542.0,136.35101236082158,2015-01-01,331
narayanganj,2016-12-31,167.77333333333334,111.0,19.0,581.0,136.46314247101964,2016-01-03,300
narayanganj,2017-12-31,176.86337209302326,121.0,17.0,821.0,135.73639539008622,2017-01-01,344
narayanganj,2018-12-31,195.92814371257484,152.5,22.0,640.0,144.83209990713664,2018-01-01,334
narayanganj,2019-12-31,178.6112759643917,142.0,18.0,636.0,128.28268261222362,2019-01-01,337
narayanganj,2020-12-31,163.44688644688645,135.0,14.0,417.0,119.94247211521187,2020-01-01,273
narayanganj,2021-12-31,251.16184971098266,260.0,45.0,484.0,111.97833750765047,2021-01-01,173
narayanganj,2022-12-31,216.0,204.0,47.0,443.0,120.84346427152296,2022-01-01,92
narsingdi,2020-12-31,104.80310880829016,55.0,9.0,353.0,94.36952296840845,2020-01-01,193
narsingdi,2021-12-31,150.79781420765028,153.0,19.0,327.0,71.75176680160637,2021-01-01,183
narsingdi,2022-12-31,147.39175257731958,161.0,33.0,312.0,69.59489275757342,2022-01-01,97
rajshahi,2014-12-31,134.11453744493392,111.0,18.0,638.0,97.24849617843205,2014-02-17,227
rajshahi,2015-12-31,96.95408163265306,73.0,0.0,376.0,91.5687379957081,2015-01-01,196
rajshahi,2016-12-31,120.54681647940075,98.0,14.0,376.0,82.81567912993233,2016-01-01,267
rajshahi,2017-12-31,125.41423948220064,104.0,7.0,384.0,81.34991314074897,2017-01-01,309
rajshahi,2018-12-31,156.92542372881357,132.0,13.0,439.0,89.86786141163476,2018-01-03,295
rajshahi,2019-12-31,141.10289389067523,135.0,15.0,422.0,88.91787997188842,2019-01-01,311
rajshahi,2020-12-31,118.78571428571429,103.0,15.0,397.0,83.71863971902609,2020-01-01,322
rajshahi,2021-12-31,206.24120603015075,196.0,37.0,384.0,82.52463428082915,2021-01-01,199
rajshahi,2022-12-31,168.59375,169.0,47.0,375.0,65.11311261344007,2022-01-01,96
rangpur,2019-12-31,157.6829268292683,163.0,13.0,466.0,96.9916607090587,2019-01-02,123
rangpur,2020-12-31,168.91139240506328,131.0,14.0,406.0,124.61389758513324,2020-01-04,237
rangpur,2021-12-31,256.4,278.0,47.0,488.0,95.19717524124886,2021-01-01,185
rangpur,2022-12-31,226.4673913043478,205.0,30.0,441.0,95.62925791275438,2022-01-01,92
savar,2019-12-31,125.89032258064516,98.0,15.0,391.0,87.63891145971243,2019-01-02,155
sylhet,2014-12-31,110.90974729241877,94.0,23.0,446.0,67.83790205608285,2014-02-17,277
sylhet,2015-12-31,117.78694158075601,90.0,0.0,356.0,81.8593577398414,2015-01-01,291
sylhet,2016-12-31,79.4626334519573,64.0,11.0,310.0,59.72149223243453,2016-01-01,281
sylhet,2017-12-31,95.02185792349727,76.5,8.0,328.0,67.39720381860111,2017-01-01,366
sylhet,2018-12-31,107.36263736263736,95.5,10.0,341.0,73.31670482399154,2018-01-01,364
sylhet,2019-12-31,96.91358024691358,83.0,9.0,262.0,63.33442566605188,2019-01-01,324
sylhet,2021-12-31,149.35675675675677,143.0,23.0,346.0,72.34858454093194,2021-01-01,185
